taxon,sex,wingl,beakh,ubeakl
Camarhynchus pauper,M,69,9,13.3
Camarhynchus pauper,M,72,8.1,13.5
Geospiza scandens,M,69,9.3,18.9
Geospiza fuliginosa,M,66,7.9,11.8
Geospiza fuliginosa,F,62,7.7,12.8
Geospiza fortis,M,75,14.6,19
Geospiza fuliginosa parvula,M,64,8.5,13.7
Geospiza fuliginosa,M,61,7.6,12.3
Geospiza scandens,M,69,8.8,19
Geospiza fuliginosa,M,62,8.5,13.4
Geospiza fortis fortis,M,69,11,16
Geospiza fortis,F,69,12.3,15.8
Camarhynchus pauper,M,69,8.5,13.6
Camarhynchus parvulus,M,64,7.3,11.3
Geospiza fuliginosa,F,64,8.7,13.3
Geospiza fortis,M,73,12,17.3
Geospiza fortis,F,69,11.8,16.1
Geospiza scandens,M,71,9.1,17.9
Geospiza fortis,M,71,12.8,16.3
Geospiza fortis ,M,72.5,12,15.5
Camarhynchus pauper,M,72,8.8,13.4
Geospiza fuliginosa,F,62,7.6,12.1
Geospiza fuliginosa,M,63,8.4,12.5
Geospiza fortis,M,68,12.8,16.4
Geospiza fortis,M,72,14.1,18.2
Camarhynchus parvulus,F,60,7.1,11
Geospiza fuliginosa,M,65,8.8,12.6
Camarhynchus pauper,F,63,8.7,13.3
Geospiza scandens,M,71,9,18.6
Geospiza fuliginosa,F,60,7.8,12.1
Geospiza fortis ,M,68,11.5,18.5
Geospiza fuliginosa parvula,M,62,8.5,12.5
Geospiza fortis,M,68,12.1,17.8
Geospiza fuliginosa,M,67,8.9,13.8
Geospiza scandens,F,69,9.8,19.7
Camarhynchus parvulus,F,61,7.7,11.4
Geospiza fuliginosa,F,60,7.9,13
Camarhynchus parvulus,M,65,7.5,11.7
Geospiza fuliginosa,F,62,7.7,12.5
Geospiza fortis,M,78,14.5,18.2
Camarhynchus parvulus,F,63,7.7,11.7
Geospiza scandens,F,69,8.7,17.1
Camarhynchus parvulus,M,64,7.3,11.9
Geospiza fortis,F,70,11.9,17.7
Geospiza fuliginosa,F,61,8,14.4
Geospiza fuliginosa,F,60,8.1,11.9
Geospiza scandens,M,71,9,18.5
Camarhynchus parvulus,M,63,7.1,10.5
Camarhynchus parvulus,M,65,7.7,11.3
Geospiza fuliginosa,F,62,7.2,12
Camarhynchus pauper,F,65,8.4,12.4
Geospiza fuliginosa,F,61,8.5,12.4
Geospiza fortis,M,72,12,16.4
Geospiza fortis,M,69,11.7,15.1
